Number_of_Cycles,PDF_of_Failure_at_x,CDF_of_Failure_at_x,Survival_at_x,Hazard_at_x,Cumulative_Hazard_at_x
45800,3.52E-07,99.99878114,0.001218856,7.253255784,7124758720
46050,3.28E-07,99.99886615,0.001133847,7.259971229,7170281807
46300,3.05E-07,99.9989453,0.001054696,7.266656482,7215846928
46550,2.84E-07,99.99901899,0.000981006,7.273311842,7261453893
46800,2.65E-07,99.9990876,0.000912404,7.2799376,7307102516
47050,2.46E-07,99.99915146,0.000848543,7.286534046,7352792613
47300,2.29E-07,99.9992109,0.000789101,7.293101464,7398524000
47550,2.13E-07,99.99926623,0.000733774,7.299640135,7444296497
47800,1.99E-07,99.99931772,0.000682283,7.306150334,7490109923
48050,1.85E-07,99.99936564,0.000634363,7.312632333,7535964101
48300,1.72E-07,99.99941023,0.000589772,7.319086401,7581858855
48550,1.60E-07,99.99945172,0.000548279,7.3255128,7627794011
48800,1.49E-07,99.99949033,0.000509673,7.331911793,7673769395
49050,1.39E-07,99.99952624,0.000473756,7.338283633,7719784837
49300,1.29E-07,99.99955966,0.000440341,7.344628576,7765840167
49550,1.20E-07,99.99959074,0.000409258,7.350946868,7811935217
49800,1.12E-07,99.99961966,0.000380345,7.357238757,7858069821
50050,1.04E-07,99.99964655,0.000353452,7.363504485,7904243814
50300,9.65E-08,99.99967156,0.00032844,7.369744289,7950457032
50550,8.97E-08,99.99969482,0.00030518,7.375958405,7996709314
50800,8.34E-08,99.99971645,0.000283549,7.382147065,8043000499
51050,7.76E-08,99.99973657,0.000263435,7.388310498,8089330429
51300,7.21E-08,99.99975527,0.000244733,7.39444893,8135698945
51550,6.70E-08,99.99977266,0.000227345,7.400562583,8182105891
51800,6.23E-08,99.99978882,0.000211179,7.406651676,8228551114
52050,5.79E-08,99.99980385,0.000196151,7.412716426,8275034458
52300,5.39E-08,99.99981782,0.000182182,7.418757047,8321555773
52550,5.01E-08,99.9998308,0.000169197,7.42477375,8368114908
52800,4.65E-08,99.99984287,0.000157128,7.430766741,8414711713
53050,4.32E-08,99.99985409,0.000145911,7.436736226,8461346039
53300,4.02E-08,99.99986451,0.000135487,7.442682408,8508017742
53550,3.73E-08,99.9998742,0.000125801,7.448605485,8554726674
53800,3.47E-08,99.9998832,0.0001168,7.454505656,8601472691
54050,3.22E-08,99.99989156,0.000108436,7.460383115,8648255651
54300,3.00E-08,99.99989933,0.000100666,7.466238052,8695075411
